"ticket_no","name","ticket_title","description_plain","comments","solution"
T029776,iApp,Ambernath _ tripod 1st Out_ offline,"As previously discussed, the Ambernath tripod for 1st Out is showing as offline and we aren't receiving reports. Could you please check this?","1. Issue Reported: The client reported that one of the turnstile devices had been inactive for a long time, and its data was not appearing in the reports.
2. Initial Check: I accessed the database menu in the software and confirmed that one device was showing as inactive. I then connected to the Zydus server and attempted to ping the device IP, but the IP was not responding.
3. Client Coordination: I contacted the client and requested them to physically check the device IP. It was found that the IP configured in the device was incorrect, and the client confirmed that IP addresses had recently been changed on all devices.
4. Resolution: I verified and updated the IP addresses on all four turnstile devices as per the client's updated configuration. The commands were successfully executed.
5. Final Status: All turnstile devices are now showing as active.","1. Issue Reported: The client reported that one of the turnstile devices had been inactive for a long time, and its data was not appearing in the reports.
2. Initial Check: I accessed the database menu in the software and confirmed that one device was showing as inactive. I then connected to the Zydus server and attempted to ping the device IP, but the IP was not responding.
3. Client Coordination: I contacted the client and requested them to physically check the device IP. It was found that the IP configured in the device was incorrect, and the client confirmed that IP addresses had recently been changed on all devices.
4. Resolution: I verified and updated the IP addresses on all four turnstile devices as per the client's updated configuration. The commands were successfully executed.
5. Final Status: All turnstile devices are now showing as active."
T029777,iApp,Access Denied due to Timezone,Employee access denied due to timezone but access group and time is proper.,QC team check ,latest firmware updated issue resolved.
T029777,iApp,Access Denied due to Timezone,Employee access denied due to timezone but access group and time is proper.,QC team need to check over remote ,latest firmware updated issue resolved.
T029777,iApp,Access Denied due to Timezone,Employee access denied due to timezone but access group and time is proper.,"During the remote session, it was verified that there were no changes found in the reported employee's data, time zone settings, or assigned access group. Despite this, the ""Access Denied due to Time Zone"" event appear for a specific time duration.

As no configuration issues were identified at this level, the case will be forwarded to the Embedded Team (Attn: Nitin Vala) for further investigation.",latest firmware updated issue resolved.
T029777,iApp,Access Denied due to Timezone,Employee access denied due to timezone but access group and time is proper.,"""Access Denied due to Time Zone"" event is shown only for single day and for particular time duration. On other days for same time duration, 'Access Allowed' event is shown.",latest firmware updated issue resolved.
T029777,iApp,Access Denied due to Timezone,Employee access denied due to timezone but access group and time is proper.,Update latest firmware ,latest firmware updated issue resolved.
T029777,iApp,Access Denied due to Timezone,Employee access denied due to timezone but access group and time is proper.,latest firmware updated issue resolved.,latest firmware updated issue resolved.
T029778,,Request for Assistance with Attendance Report Issue,"Dear Spectra Team, We have recently installed the attendance machine provided by Spectra at our company. However, we are currently facing some issues with the attendance report generated by the system. We would appreciate your assistance in resolving this matter at the earliest convenience. Kindly let us know if any additional information is required from our side to help you investigate the issue. Looking forward to your prompt support. Piyush Javia Tel:- 079 35111617 Mobile:- 9974051534 Disclaimer: The information contained in this electronic message or in any trailing messages herein or in any attachments to this message is confidential, legally privileged and non-public information, intended to be conveyed only to the designated recipient(s). If you are not the intended recipient of this electronic message, please notify the sender immediately, delete this electronic message and its attachments, without reading or saving them in any manner and preserve its confidentiality. You are hereby notified that any unauthorized distribution, disclosure, copying, review, retransmission, dissemination or other use of this electronic message or the information contained in it, is strictly prohibited and may be unlawful. Before opening any attachment(s) to this electronic message, please check them for viruses and defects. Neither sender nor his/her organization accepts any liability for damage caused by any virus transmitted by this electronic message.’ If the disclaimer can't be applied, take no action.","1. The client reported that when they try to generate the attendance report, an error is displayed.
2. I requested them to kindly share remote access so I can check from here as well.",
T029778,,Request for Assistance with Attendance Report Issue,"Dear Spectra Team, We have recently installed the attendance machine provided by Spectra at our company. However, we are currently facing some issues with the attendance report generated by the system. We would appreciate your assistance in resolving this matter at the earliest convenience. Kindly let us know if any additional information is required from our side to help you investigate the issue. Looking forward to your prompt support. Piyush Javia Tel:- 079 35111617 Mobile:- 9974051534 Disclaimer: The information contained in this electronic message or in any trailing messages herein or in any attachments to this message is confidential, legally privileged and non-public information, intended to be conveyed only to the designated recipient(s). If you are not the intended recipient of this electronic message, please notify the sender immediately, delete this electronic message and its attachments, without reading or saving them in any manner and preserve its confidentiality. You are hereby notified that any unauthorized distribution, disclosure, copying, review, retransmission, dissemination or other use of this electronic message or the information contained in it, is strictly prohibited and may be unlawful. Before opening any attachment(s) to this electronic message, please check them for viruses and defects. Neither sender nor his/her organization accepts any liability for damage caused by any virus transmitted by this electronic message.’ If the disclaimer can't be applied, take no action.",Waiting for remote access.,
T029780,,Dual Authentication Setup Confirmation,"Dear Team, Kindly confirm on Dual authentication is working correctly with the following setup: In- Bio scribe 2C (card only)Out- Reader Please confirm this setup supports Dual authentication or there are any specific configurations required. Thanks &","This is a system-generated duplicate ticket; therefore, we are closing it.
Kindly refer to ticket number T029792 for further resolution.
","This is a system-generated duplicate ticket; therefore, we are closing it.
Kindly refer to ticket number T029792 for further resolution.
"
T029780,,Dual Authentication Setup Confirmation,"Dear Team, Kindly confirm on Dual authentication is working correctly with the following setup: In- Bio scribe 2C (card only)Out- Reader Please confirm this setup supports Dual authentication or there are any specific configurations required. Thanks &","This is a system-generated duplicate ticket; therefore, we are closing it.
Kindly refer to ticket number T029792 for further resolution.
","This is a system-generated duplicate ticket; therefore, we are closing it.
Kindly refer to ticket number T029792 for further resolution.
"
T029781,,Request to Resolve Ticket - T029475,"To Dear Rahulji No one has yet called us for last weeks assigned complaints for Unichem Lab Ltd. We have received the call but it was at later evening after 6.15pm on thursday. But no one called us on next day where it was friday.. We must say Rahul very much poor services conducted from your team end... So we request you to kindly arrange call on very urgent basis we need to reslove all complaints by today before 3pm.. Kindly contact us for any further clarification for the above same Thanks & Best Regards GANESH KADAM 9619919958 APEX TECHNOLOGIES B-103, Om Siddhi Arcade CHSL, Lodha Complex, Navghar Village Bhayander (east), Dist:- Thane 401105 Maharashtra Email: ganesh@apextechno.co.in From: CRM <crm-no-reply@spectra-vision.com> Sent: Wednesday, May 7, 2025 06:27 To: ganesh@apextechno.co.in <ganesh@apextechno.co.in> Subject: Update on Your Support Ticket - T029475 - In Progress Hi Ganesh Kadam, This is a quick update on the ticket T029475 regarding P {margin-top:0;margin-bottom:0;} To Dear Rahul Please arrange urgent support entire software is not working for all locations for Unichem Lab Ltd. Kindly even go through below for same mail there is some error which has been occured Kindly contact us for any further clarification for the above same Thanks & Best Regards GANESH KADAM 9619919958 APEX TECHNOLOGIES B-103, Om Siddhi Arcade CHSL, Lodha Complex, Navghar Village Bhayander (east), Dist:- Thane 401105 Maharashtra Email: ganesh@apextechno.co.in From: Rashmi Kamble <rashmi.kamble@unichemlabs.com> Sent: Tuesday, May 6, 2025 21:56 To: ganesh@apextechno.co.in <ganesh@apextechno.co.in> Cc: itsupport.server@unichemlabs.com <itsupport.server@unichemlabs.com> Subject: FW: Spectra Left Employee Dear Ganesh, Getting error across location, we are not able to access software. . We've received your assignment and are working on resolving the issue. We'll investigate the issue further and may contact you for additional information if needed. If you have any questions or require clarification on the issue, please don't hesitate to reply to this email.",Duplicate ticket number : - T029480,Duplicate ticket number : - T029480
T029782,,Issue in Canteen Ground Floor Machine - Photos are not mapping (Assigned) in the Device. Gharda Chemical Limited (GIL),"Classification: Public Dear Spectra Team, Issue is still not resolve. Please find the below trail mail send earlier. Gaurav Desai Human Resource GUJARAT INSECTICIDES LTD (Subsidary of Gharda Chemical Limited) Plot No. 805-806, GIDC Estate, Ankleshwar (Gujarat), 393002. Direct: - 02646-668253 From: Gauravkumar P Desai Sent: Saturday, May 10, 2025 1:19 PM To: 'support@spectra-vision.com' <support@spectra-vision.com> Subject: Issue in Canteen Ground Floor Machine - Photos are not mapping in the Device. Gharda Chemical Limited (GIL) Classification: Public Dear Spectra, Tried to reach on Call but no. shows invalid in Card. We have one issue in Canteen Ground Floor Device. New register photo not able to assign in the Machine. Current Device Status shows as below: Human Resource GUJARAT INSECTICIDES LTD Plot No. 805-806, GIDC Estate, Ankleshwar (Gujarat), 393002. Direct: - 02646-668253",trying to reach the client but somehow not able to connect with them.,"We truncate the downloaddocument , deviceutilitystatus and pending machinedata   and restart the services for removing the device from the waiting state . reported issue has been resolved ."
T029782,,Issue in Canteen Ground Floor Machine - Photos are not mapping (Assigned) in the Device. Gharda Chemical Limited (GIL),"Classification: Public Dear Spectra Team, Issue is still not resolve. Please find the below trail mail send earlier. Gaurav Desai Human Resource GUJARAT INSECTICIDES LTD (Subsidary of Gharda Chemical Limited) Plot No. 805-806, GIDC Estate, Ankleshwar (Gujarat), 393002. Direct: - 02646-668253 From: Gauravkumar P Desai Sent: Saturday, May 10, 2025 1:19 PM To: 'support@spectra-vision.com' <support@spectra-vision.com> Subject: Issue in Canteen Ground Floor Machine - Photos are not mapping in the Device. Gharda Chemical Limited (GIL) Classification: Public Dear Spectra, Tried to reach on Call but no. shows invalid in Card. We have one issue in Canteen Ground Floor Device. New register photo not able to assign in the Machine. Current Device Status shows as below: Human Resource GUJARAT INSECTICIDES LTD Plot No. 805-806, GIDC Estate, Ankleshwar (Gujarat), 393002. Direct: - 02646-668253",trying to reach the client but somehow not able to connect with them.,"We truncate the downloaddocument , deviceutilitystatus and pending machinedata   and restart the services for removing the device from the waiting state . reported issue has been resolved ."
T029782,,Issue in Canteen Ground Floor Machine - Photos are not mapping (Assigned) in the Device. Gharda Chemical Limited (GIL),"Classification: Public Dear Spectra Team, Issue is still not resolve. Please find the below trail mail send earlier. Gaurav Desai Human Resource GUJARAT INSECTICIDES LTD (Subsidary of Gharda Chemical Limited) Plot No. 805-806, GIDC Estate, Ankleshwar (Gujarat), 393002. Direct: - 02646-668253 From: Gauravkumar P Desai Sent: Saturday, May 10, 2025 1:19 PM To: 'support@spectra-vision.com' <support@spectra-vision.com> Subject: Issue in Canteen Ground Floor Machine - Photos are not mapping in the Device. Gharda Chemical Limited (GIL) Classification: Public Dear Spectra, Tried to reach on Call but no. shows invalid in Card. We have one issue in Canteen Ground Floor Device. New register photo not able to assign in the Machine. Current Device Status shows as below: Human Resource GUJARAT INSECTICIDES LTD Plot No. 805-806, GIDC Estate, Ankleshwar (Gujarat), 393002. Direct: - 02646-668253",CLient will call me once they got the server system .,"We truncate the downloaddocument , deviceutilitystatus and pending machinedata   and restart the services for removing the device from the waiting state . reported issue has been resolved ."
T029782,,Issue in Canteen Ground Floor Machine - Photos are not mapping (Assigned) in the Device. Gharda Chemical Limited (GIL),"Classification: Public Dear Spectra Team, Issue is still not resolve. Please find the below trail mail send earlier. Gaurav Desai Human Resource GUJARAT INSECTICIDES LTD (Subsidary of Gharda Chemical Limited) Plot No. 805-806, GIDC Estate, Ankleshwar (Gujarat), 393002. Direct: - 02646-668253 From: Gauravkumar P Desai Sent: Saturday, May 10, 2025 1:19 PM To: 'support@spectra-vision.com' <support@spectra-vision.com> Subject: Issue in Canteen Ground Floor Machine - Photos are not mapping in the Device. Gharda Chemical Limited (GIL) Classification: Public Dear Spectra, Tried to reach on Call but no. shows invalid in Card. We have one issue in Canteen Ground Floor Device. New register photo not able to assign in the Machine. Current Device Status shows as below: Human Resource GUJARAT INSECTICIDES LTD Plot No. 805-806, GIDC Estate, Ankleshwar (Gujarat), 393002. Direct: - 02646-668253",They will call me back .,"We truncate the downloaddocument , deviceutilitystatus and pending machinedata   and restart the services for removing the device from the waiting state . reported issue has been resolved ."
T029782,,Issue in Canteen Ground Floor Machine - Photos are not mapping (Assigned) in the Device. Gharda Chemical Limited (GIL),"Classification: Public Dear Spectra Team, Issue is still not resolve. Please find the below trail mail send earlier. Gaurav Desai Human Resource GUJARAT INSECTICIDES LTD (Subsidary of Gharda Chemical Limited) Plot No. 805-806, GIDC Estate, Ankleshwar (Gujarat), 393002. Direct: - 02646-668253 From: Gauravkumar P Desai Sent: Saturday, May 10, 2025 1:19 PM To: 'support@spectra-vision.com' <support@spectra-vision.com> Subject: Issue in Canteen Ground Floor Machine - Photos are not mapping in the Device. Gharda Chemical Limited (GIL) Classification: Public Dear Spectra, Tried to reach on Call but no. shows invalid in Card. We have one issue in Canteen Ground Floor Device. New register photo not able to assign in the Machine. Current Device Status shows as below: Human Resource GUJARAT INSECTICIDES LTD Plot No. 805-806, GIDC Estate, Ankleshwar (Gujarat), 393002. Direct: - 02646-668253","We truncate the downloaddocument , deviceutilitystatus and pending machinedata to remove the device from the waiting state . but still it comes into waiting state . So , We will connect again .","We truncate the downloaddocument , deviceutilitystatus and pending machinedata   and restart the services for removing the device from the waiting state . reported issue has been resolved ."
T029782,,Issue in Canteen Ground Floor Machine - Photos are not mapping (Assigned) in the Device. Gharda Chemical Limited (GIL),"Classification: Public Dear Spectra Team, Issue is still not resolve. Please find the below trail mail send earlier. Gaurav Desai Human Resource GUJARAT INSECTICIDES LTD (Subsidary of Gharda Chemical Limited) Plot No. 805-806, GIDC Estate, Ankleshwar (Gujarat), 393002. Direct: - 02646-668253 From: Gauravkumar P Desai Sent: Saturday, May 10, 2025 1:19 PM To: 'support@spectra-vision.com' <support@spectra-vision.com> Subject: Issue in Canteen Ground Floor Machine - Photos are not mapping in the Device. Gharda Chemical Limited (GIL) Classification: Public Dear Spectra, Tried to reach on Call but no. shows invalid in Card. We have one issue in Canteen Ground Floor Device. New register photo not able to assign in the Machine. Current Device Status shows as below: Human Resource GUJARAT INSECTICIDES LTD Plot No. 805-806, GIDC Estate, Ankleshwar (Gujarat), 393002. Direct: - 02646-668253",We will connect again .,"We truncate the downloaddocument , deviceutilitystatus and pending machinedata   and restart the services for removing the device from the waiting state . reported issue has been resolved ."
T029783,,PO Copy - Supply and Installation of fire alarm control mother board - Omega CHN III,"Hi Vanitha, Please confirm the material status. Thanks &",will connect tommorow,Internal conversation of partner team.
T029783,,PO Copy - Supply and Installation of fire alarm control mother board - Omega CHN III,"Hi Vanitha, Please confirm the material status. Thanks &",will connect tommorow,Internal conversation of partner team.
T029783,,PO Copy - Supply and Installation of fire alarm control mother board - Omega CHN III,"Hi Vanitha, Please confirm the material status. Thanks &",Internal conversation of partner team.,Internal conversation of partner team.
T029784,iApp,EHS Real Head Count - Spectra Data,EHS Real Head Count - Spectra Data meeting ,Assigned to Milan ,Meeting done and guided for security monitor functionality also done export data setting for ponta
T029784,iApp,EHS Real Head Count - Spectra Data,EHS Real Head Count - Spectra Data meeting ,Meeting done and guided for security monitor functionality also done export data setting for ponta,Meeting done and guided for security monitor functionality also done export data setting for ponta
T029785,,DOTL & Auto Deactivate of Biometric Doors,"Team, This is to inform you that, most of the doors DOTL email & Buzzers have failed to trigger. In addition, 2 doors did not deactivate during the fire alarm. I kindly request your support immediately. @Maheshwari Rahul, kindly need your support here as discussed. Deepak Nandakumara | Senior Executive - Administration & Facility Softtek India Pvt Ltd.| No 26/1, Shilpa Emerald, Hosur Main Road, Bangalore 560068, Karnataka, India. Tel: +91 8040165000 Ext. 5319 | Mobile: +9198804 37755| www.softtek.com nearshore.com | twitter.com/Softtek | linkedin.com/company/Softtek | facebook.com/Softtek |youtube.com/SofttekTV IMPORTANT: The documents and files attached to this transmission contain confidential information that must be kept secret by law. This information is for the exclusive use of the specified recipient whose name appears in this transmission. If you have received this message by mistake, please notify us immediately by return e-mail and delete the file and its attachments. You are hereby notified that any dissemination, copying, distribution or adoption of any action arising from the confidential information contained herein is strictly prohibited. Any violation will be penalized by law. Privacy Notice","Please let me know a convenient time for you to connect, and I will make myself available at the mentioned time.
","We took a remote session with the user and identified that the user was facing an issue with DOTL/FIRE, where the device was not functioning, and the user was not receiving the trigger email.

To resolve this, we edited and saved the Device Master and Door Assignment. After making these changes, we asked the user to check, and the system is now working as expected. The user is also receiving the emails."
T029785,,DOTL & Auto Deactivate of Biometric Doors,"Team, This is to inform you that, most of the doors DOTL email & Buzzers have failed to trigger. In addition, 2 doors did not deactivate during the fire alarm. I kindly request your support immediately. @Maheshwari Rahul, kindly need your support here as discussed. Deepak Nandakumara | Senior Executive - Administration & Facility Softtek India Pvt Ltd.| No 26/1, Shilpa Emerald, Hosur Main Road, Bangalore 560068, Karnataka, India. Tel: +91 8040165000 Ext. 5319 | Mobile: +9198804 37755| www.softtek.com nearshore.com | twitter.com/Softtek | linkedin.com/company/Softtek | facebook.com/Softtek |youtube.com/SofttekTV IMPORTANT: The documents and files attached to this transmission contain confidential information that must be kept secret by law. This information is for the exclusive use of the specified recipient whose name appears in this transmission. If you have received this message by mistake, please notify us immediately by return e-mail and delete the file and its attachments. You are hereby notified that any dissemination, copying, distribution or adoption of any action arising from the confidential information contained herein is strictly prohibited. Any violation will be penalized by law. Privacy Notice","Please let me know a convenient time for you to connect, and I will make myself available at the mentioned time.
","We took a remote session with the user and identified that the user was facing an issue with DOTL/FIRE, where the device was not functioning, and the user was not receiving the trigger email.

To resolve this, we edited and saved the Device Master and Door Assignment. After making these changes, we asked the user to check, and the system is now working as expected. The user is also receiving the emails."
T029785,,DOTL & Auto Deactivate of Biometric Doors,"Team, This is to inform you that, most of the doors DOTL email & Buzzers have failed to trigger. In addition, 2 doors did not deactivate during the fire alarm. I kindly request your support immediately. @Maheshwari Rahul, kindly need your support here as discussed. Deepak Nandakumara | Senior Executive - Administration & Facility Softtek India Pvt Ltd.| No 26/1, Shilpa Emerald, Hosur Main Road, Bangalore 560068, Karnataka, India. Tel: +91 8040165000 Ext. 5319 | Mobile: +9198804 37755| www.softtek.com nearshore.com | twitter.com/Softtek | linkedin.com/company/Softtek | facebook.com/Softtek |youtube.com/SofttekTV IMPORTANT: The documents and files attached to this transmission contain confidential information that must be kept secret by law. This information is for the exclusive use of the specified recipient whose name appears in this transmission. If you have received this message by mistake, please notify us immediately by return e-mail and delete the file and its attachments. You are hereby notified that any dissemination, copying, distribution or adoption of any action arising from the confidential information contained herein is strictly prohibited. Any violation will be penalized by law. Privacy Notice","We took a remote session with the user and identified that the user was facing an issue with DOTL/FIRE, where the device was not functioning, and the user was not receiving the trigger email.

To resolve this, we edited and saved the Device Master and Door Assignment. After making these changes, we asked the user to check, and the system is now working as expected. The user is also receiving the emails.","We took a remote session with the user and identified that the user was facing an issue with DOTL/FIRE, where the device was not functioning, and the user was not receiving the trigger email.

To resolve this, we edited and saved the Device Master and Door Assignment. After making these changes, we asked the user to check, and the system is now working as expected. The user is also receiving the emails."
T029786,BioStamp 3S,RMA001093 and RMA001066 payment has been done.,"Hi,RMA No: RMA001093 and RMA001066 payment has been done.Please find pay slip.please send the materials as soon as possible.Thank you,",Assign to RMA team.,
T029786,BioStamp 3S,RMA001093 and RMA001066 payment has been done.,"Hi,RMA No: RMA001093 and RMA001066 payment has been done.Please find pay slip.please send the materials as soon as possible.Thank you,",Ticket Details Changed,
T029787,iApp,Access issue ,"When users are trying to access the door for the first time, it displays ""user not found.""",As discussed 8951179483 we will connect in some time,As per remote session we have update the firmware and synce the user and check with client reported issue has been resolved.
T029787,iApp,Access issue ,"When users are trying to access the door for the first time, it displays ""user not found.""",As discussed 8951179483 we will connect in some time,As per remote session we have update the firmware and synce the user and check with client reported issue has been resolved.
T029787,iApp,Access issue ,"When users are trying to access the door for the first time, it displays ""user not found.""",I have been trying to reach on this number 8486064728 but there has been no response from your side.,As per remote session we have update the firmware and synce the user and check with client reported issue has been resolved.
T029787,iApp,Access issue ,"When users are trying to access the door for the first time, it displays ""user not found.""",I have been trying to reach on this number 8486064728 but there has been no response from your side.,As per remote session we have update the firmware and synce the user and check with client reported issue has been resolved.
T029787,iApp,Access issue ,"When users are trying to access the door for the first time, it displays ""user not found.""",I have been trying to reach on this number 8951179483 but there has been no response from your side.,As per remote session we have update the firmware and synce the user and check with client reported issue has been resolved.
T029787,iApp,Access issue ,"When users are trying to access the door for the first time, it displays ""user not found.""",I have been trying to reach on this number 8951179483 but there has been no response from your side.,As per remote session we have update the firmware and synce the user and check with client reported issue has been resolved.
T029787,iApp,Access issue ,"When users are trying to access the door for the first time, it displays ""user not found.""",As per remote session we have update the firmware and synce the user and check with client reported issue has been resolved.,As per remote session we have update the firmware and synce the user and check with client reported issue has been resolved.
T029788,,Urgent require support spectra replacement - ICICI Securities Prabhadevi ,"Dear TeamPlease provide your support team for reconfigured of 2 2 door controller, our engineer Mr. Prathmesh will coordinate for controller configuration. Engineer Name 👇Prathmesh Surve - +918698757245",Duplicate ticket number : - T029794,Duplicate ticket number : - T029794
T029789,iApp,Consecutive 9 days employees worked Face Raider should not working,"Hi Milan, We need your support regarding an consecutive days in the Spectra system. If an employee has worked for 9 consecutive days, the Face Raider functionality should not work, when they return to work on the 10th day. We kindly request you to make the necessary arrangements in the Spectra system to address this issue.","We need to check this in our system. Once done, we will provide you with an update.",
T029789,iApp,Consecutive 9 days employees worked Face Raider should not working,"Hi Milan, We need your support regarding an consecutive days in the Spectra system. If an employee has worked for 9 consecutive days, the Face Raider functionality should not work, when they return to work on the 10th day. We kindly request you to make the necessary arrangements in the Spectra system to address this issue.","We need to check this in our system. Once done, we will provide you with an update.",
